molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL1822263,active,6.494850021680094,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)c4cn(C)cn4)c3F)cc12,463.4260000000001,2.0313,3.0,7.0
CHEMBL2153638,active,7.533132379645891,COc1n[nH]c2ncc(NC(=O)c3cc(C(=O)Nc4cccc(C(F)(F)F)c4)ccc3C)cc12,469.4230000000001,4.798320000000003,3.0,5.0
CHEMBL2153634,active,7.312917155395629,COc1n[nH]c2ncc(NC(=O)c3cc(NC(=O)c4ccc(Cl)c(C(F)(F)F)c4)ccc3F)cc12,507.83100000000013,5.282400000000003,3.0,5.0
CHEMBL2153636,active,8.002176919254275,COc1n[nH]c2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(C)(C)C#N)c4)ccc3C)cc12,468.5170000000002,4.580700000000004,3.0,6.0
CHEMBL2153635,active,7.935542010773082,COc1n[nH]c2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(C)(C)C#N)c4)ccc3Cl)cc12,488.93500000000023,4.925680000000003,3.0,6.0
CHEMBL2153513,active,7.978810700930062,COc1n[nH]c2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(C)(C)C#N)c4)ccc3F)cc12,472.4800000000002,4.411380000000003,3.0,6.0
CHEMBL2153637,inactive,5.297569463554475,COc1n[nH]c2ncc(NC(=O)c3cccc(C(=O)Nc4ccccc4)c3)cc12,387.39900000000006,3.4711000000000016,3.0,5.0
CHEMBL2153514,active,7.152119002554625,COc1n[nH]c2ncc(NC(=O)c3cccc(NC(=O)c4cccc(C(C)(C)C#N)c4)c3)cc12,454.49000000000024,4.272280000000003,3.0,6.0
CHEMBL2153633,active,8.292429823902063,COc1n[nH]c2ncc(NC(=O)c3cccc(NC(=O)c4cccc(C(C)(C)C#N)c4)c3F)cc12,472.48000000000025,4.411380000000003,3.0,6.0
CHEMBL5907389,inactive,4.3075055924969154,COc1ncc(-c2cc(C(=O)Nc3ccnc(S(C)(=O)=O)c3)ccc2C)cc1C1(O)COC1,469.5190000000003,2.33422,2.0,8.0
CHEMBL5888171,inactive,4.832416852034159,COc1ncc(-c2cc(NC(=O)c3cc(C(C)(C)C#N)ccn3)cnc2C)cc1C1(F)COC1,461.4970000000002,4.104100000000003,1.0,7.0
CHEMBL5884776,inactive,4.497928108793339,COc1ncc(-c2cc(NC(=O)c3cc(C(C)(C)F)ccn3)cnc2C)cc1C1(O)COC1,452.4860000000002,3.5303200000000015,2.0,7.0
CHEMBL5917669,inactive,4.756515477993542,COc1ncc(-c2cc(NC(=O)c3cc(C(C)(C)N)cc(C(F)(F)F)c3)cnc2C)cc1C1(C#N)COC1,525.5310000000002,4.717100000000003,2.0,7.0
CHEMBL6030955,inactive,4.880975179885217,COc1ncc(-c2cc(NC(=O)c3cc(C(C)(C)N)cc(C(F)(F)F)c3)cnc2C)cc1C1(F)COC1,518.5110000000001,5.1205200000000035,2.0,6.0
CHEMBL5833849,inactive,4.884888964495652,COc1ncc(-c2cc(NC(=O)c3cc(C(C)(F)F)ccn3)cnc2C)cc1C1(O)COC1,456.4490000000002,3.4374200000000013,2.0,7.0
CHEMBL6061030,active,6.029653123769907,COc1ncc(-c2cc(NC(=O)c3cc(C(F)(F)F)ccn3)ccc2C)cc1C1(F)COC1,461.4150000000002,4.926720000000003,1.0,5.0
CHEMBL6022095,active,7.226945306635737,COc1ncc(-c2cc(NC(=O)c3cc(C(F)(F)F)ccn3)cnc2C)cc1C1(F)COC1,462.4030000000002,4.321720000000003,1.0,6.0
CHEMBL5991237,inactive,4.6289691005336735,COc1ncc(-c2cc(NC(=O)c3cc(C(F)(F)F)ccn3)cnc2C)cc1C1(O)COC1,460.4120000000002,3.344520000000002,2.0,7.0
CHEMBL5830311,active,7.915423722065669,COc1ncc(-c2cc(NC(=O)c3cc(CN(C)C)cc(C(F)(F)F)c3)cnc2C)nc1N1CCOCC1,530.551,4.024920000000003,1.0,8.0
CHEMBL3956383,active,8.97061622231479,COc1ncc(-c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2C)cc1N1CCOCC1,471.47900000000027,5.173320000000005,1.0,5.0
CHEMBL5980995,active,6.328827157284917,COc1ncc(-c2cc(NC(=O)c3cccc(C(F)(F)F)c3)cnc2C)cc1C1(CF)COC1,475.44200000000023,4.969220000000004,1.0,5.0
CHEMBL5995866,inactive,4.984556412048898,COc1ncc(-c2cc(NC(=O)c3cccc(C(F)(F)F)c3)cnc2C)cc1C1(O)COC1,459.4240000000002,3.9495200000000033,2.0,6.0
CHEMBL3978705,active,8.777283528852417,COc1ncc(-c2cc(NC(=O)c3cccc(C(F)(F)F)c3)cnc2C)cc1N1CCOCC1,472.46700000000027,4.568320000000004,1.0,6.0
CHEMBL5926274,active,8.3767507096021,COc1ncc(-c2cc(NC(=O)c3cccc(C(F)(F)F)c3)nnc2C)cc1N1CCOCC1,473.45500000000027,3.963320000000003,1.0,7.0
CHEMBL6001779,inactive,4.990209280645702,COc1ncc(-c2cc(NC(=O)c3ccnc(C(C)(C)C#N)c3)ccc2C)cc1C1(C=O)COC1,470.5290000000003,3.9810000000000025,1.0,7.0
CHEMBL5885604,active,6.236572006437063,COc1ncc(-c2cc(NC(=O)c3ccnc(C(C)(C)C#N)c3)ccc2C)cc1C1(CF)COC1,474.5360000000003,4.751600000000004,1.0,6.0
CHEMBL3904596,active,8.422278475490979,COc1ncc(-c2cc(NC(=O)c3ccnc(C(C)(C)C#N)c3)ccc2C)cc1N1CCOCC1,471.5610000000003,4.350700000000003,1.0,7.0
CHEMBL3892757,active,7.871600731282194,COc1ncc(-c2cc(NC(=O)c3ccnc(C(C)(C)C#N)c3)cnc2C)cc1N1CCOCC1,472.5490000000003,3.745700000000003,1.0,8.0
CHEMBL5934403,active,7.901356274182943,COc1ncc(-c2cc(NC(=O)c3ccnc(C(C)(C)C#N)c3)cnc2C)nc1N1CCOCC1,473.5370000000003,3.1407000000000016,1.0,9.0
CHEMBL5863577,active,8.065501548756432,COc1ncc(-c2cc(NC(=O)c3ccnc(C(C)(C)C#N)c3)cnc2Cl)cc1N1CCOCC1,492.9670000000003,4.090680000000003,1.0,8.0
